482,558,893,774,452,341,161,395,919,50
460,953,459,45,760,990,457,974,678,570
444,200,704,224,540,736,896,443,801,915
625,80,862,740,175,989,839,844,727,507
869,14,378,905,941,988,60,232,877,197
245,845,0,608,212,473,745,939,396,991
540,625,173,904,930,983,951,614,59,284
991,726,975,81,178,835,45,583,968,385
700,908,204,91,158,811,558,793,537,351
369,145,863,572,68,307,99,111,958,263
946,215,194,56,917,4,932,891,122,656
72,781,711,508,955,995,749,320,120,372
502,706,553,889,173,977,441,507,944,188
28,783,36,401,126,911,477,694,375,422
24,246,457,833,835,816,841,379,916,346
332,726,147,270,159,760,862,205,871,539
28,970,61,337,974,334,352,615,134,302
752,613,993,214,691,351,220,376,843,875
704,824,950,606,536,625,919,954,438,69
490,902,632,222,839,519,531,751,829,702
811,472,560,354,654,45,909,106,1,445
234,11,539,288,421,662,835,810,3,961
395,697,91,787,69,65,710,258,198,448
768,902,447,593,502,150,249,958,877,729
439,122,184,445,701,355,682,531,496,829
364,400,172,123,461,651,568,183,501,377
612,981,236,691,31,845,458,106,507,241
865,127,146,3,751,944,465,345,316,116
775,636,449,310,580,299,665,735,787,693
120,762,623,404,390,88,998,987,631,43
744,78,982,16,671,619,109,853,943,611
625,24,585,34,154,515,538,101,542,578
485,111,479,323,359,505,887,686,856,878
280,600,228,383,868,114,386,401,486,686
208,910,851,731,654,616,524,568,260,595
624,884,646,723,785,541,155,878,993,117
327,301,415,802,259,542,37,749,747,526
977,322,499,712,335,625,124,678,240,985
822,103,537,276,605,425,741,41,939,309
745,57,471,598,156,300,923,128,357,432
619,273,228,339,574,659,112,715,757,535
230,728,909,14,373,138,73,755,652,603
526,319,767,704,791,186,157,59,619,823
775,884,522,552,240,595,811,547,281,440
264,983,599,153,598,660,633,258,843,356
557,927,290,844,329,26,101,693,91,80
701,556,487,567,914,201,5,123,336,700
980,397,182,529,758,762,454,76,544,784
828,674,858,534,686,398,451,45,485,306
915,441,627,788,894,95,706,105,380,150
808,212,189,40,480,924,298,528,229,937
745,208,63,655,245,324,314,475,15,253
501,96,749,775,502,578,455,732,494,545
653,384,847,862,262,498,388,365,676,828
321,708,132,26,603,404,296,977,673,205
400,577,925,294,436,431,366,317,983,692
127,323,895,223,371,262,700,79,729,187
958,412,960,849,795,696,95,978,200,294
933,91,966,24,722,647,103,63,326,203
171,908,585,724,988,601,769,46,267,985
145,35,577,851,411,180,765,355,830,502
984,294,459,209,808,351,399,569,636,373
948,118,218,25,488,594,830,340,194,810
776,914,226,347,243,284,377,971,17,426
849,793,39,528,705,766,111,979,812,206
20,801,735,327,151,784,239,717,832,808
244,70,51,929,395,680,726,824,192,483
942,124,974,809,719,471,918,659,134,868
915,794,879,462,39,406,541,106,658,258
996,671,908,327,693,974,228,548,376,311
489,478,893,454,603,428,788,371,987,61
438,869,593,64,109,460,971,215,918,269
571,944,474,225,98,781,40,397,921,704
249,888,960,597,980,36,899,621,846,185
200,87,616,257,693,723,98,182,344,713
139,807,746,793,589,575,23,837,594,963
786,834,504,742,856,170,510,159,826,257
354,835,261,197,65,159,986,41,525,792
447,251,325,518,648,487,127,805,848,213
756,485,346,681,890,840,182,484,819,994
107,763,821,326,718,527,21,377,217,274
545,608,540,914,167,514,991,115,999,475
760,17,820,192,525,969,822,427,383,558
650,26,314,11,544,228,262,86,166,833
943,562,900,27,623,417,189,537,145,552
807,820,234,947,14,746,826,617,271,664
1,512,288,550,154,273,951,841,182,940
304,170,846,399,244,579,83,853,746,876
973,111,549,151,740,476,644,38,211,654
119,946,882,314,584,312,809,824,212,385
948,595,860,437,899,233,45,763,99,205
964,858,615,895,12,940,707,469,986,662
230,967,355,844,245,913,357,527,693,161
63,580,220,971,948,688,856,217,579,915
241,442,39,479,129,833,268,23,214,208
591,873,997,736,516,619,413,941,654,653
327,962,375,317,173,469,331,616,302,157
506,44,427,683,543,166,170,275,690,142
193,112,206,459,728,480,724,179,287,189
903,620,331,347,609,446,226,641,660,522
